Search Gene	Found FBGN	Found Gene	extended cold, 4-day adult	cold shock, 4-day adult	heat shock, 4-day adult	Cadmium 50 mM 6 hrs, larvae L3	Cadmium 50 mM 12 hrs, larvae L3	Cadmium 50 mM 48 hrs, 4-day adult	Cadmium 100 mM 48 hrs, 4-day adult	Copper 0.5 mM 12 hrs, larvae L3	Copper 15 mM 48 hrs, 4-day adult	Zinc 5 mM 12 hrs, larvae L3	Zinc 4.5 mM 48 hrs, 4-day adult	Ethanol 2.5% 3 hrs, larvae L3	Ethanol 5% 3 hrs, larvae L3	Ethanol 10% 3 hrs, larvae L3	Caffeine 1.5 mg/ml 4 hrs, larvae L3	Caffeine 2.5 mg/ml 48 hrs, 4-day adult	Caffeine 25 mg/ml 48 hrs, 4-day adult	Paraquat 5 mM 48 hrs, 4-day adult	Paraquat 10 mM 48 hrs, 4-day adult	Rotenone 2 µg 12 hrs, larvae L3	Rotenone 8 µg 12 hrs, larvae L3	Rotenone starved, 10-day adult	Sindbis virus, larval stage	Sindbis virus, pupal stage	Sindbis virus, 4-day adult male	Sindbis virus, 4-day adult female	Resveratrol 100uM, 10-day adult
FBgn0000008	FBgn0000008	a	17	12	9	2	4	8	18	3	7	5	9	16	2	2	2	9	11	10	10	2	1	9	8	23	3	12	19
FBgn0000014	FBgn0000014	abd-A	11	11	4	7	9	6	3	14	3	19	5	2	4	6	6	2	11	4	4	4	3	3	2	5	1	1	2
FBgn0000015	FBgn0000015	Abd-B	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	3	1	1	1	0	1
FBgn0000017	FBgn0000017	Abl	8	6	6	1	1	8	14	2	14	3	6	13	1	1	1	12	8	9	11	1	1	4	3	6	1	4	8
FBgn0000018	FBgn0000018	abo	1	1	6	3	4	5	4	0	2	0	2	7	4	3	3	3	1	5	4	3	3	10	6	7	5	15	13
FBgn0000022	FBgn0000022	ac	1	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	7	0	0	0
FBgn0000024	FBgn0000024	Ace	9	7	4	2	3	6	9	2	18	4	21	5	5	3	5	7	8	8	9	4	2	5	7	5	2	4	7
FBgn0000028	FBgn0000028	acj6	5	5	1	0	1	2	4	2	7	3	8	2	1	0	1	3	5	4	4	1	1	2	1	0	0	0	0
FBgn0000032	FBgn0000032	Acph-1	12	10	18	12	21	15	19	11	10	5	9	23	12	10	15	18	11	18	17	18	12	9	13	27	17	28	12
FBgn0000036	FBgn0000036	nAChRalpha1	2	2	0	0	0	1	1	0	2	1	4	1	0	0	0	1	2	1	1	0	0	3	2	1	0	1	2
FBgn0000037	FBgn0000037	mAChR-A	7	6	1	1	1	3	5	1	8	2	11	2	1	0	0	3	5	4	4	0	0	7	3	2	0	1	4
FBgn0000038	FBgn0000038	nAChRbeta1	9	7	4	1	1	7	13	1	29	3	40	8	1	1	1	10	7	14	14	1	1	3	3	2	0	1	2
FBgn0000039	FBgn0000039	nAChRalpha2	5	6	0	1	1	1	1	1	1	3	1	1	0	1	1	1	3	1	3	0	0	7	5	5	1	2	4
FBgn0000042	FBgn0000042	Act5C	2621	2514	1257	1316	1418	1640	1912	2401	3278	3167	2458	1042	1296	1586	784	1431	2680	1238	1213	1515	1282	397	526	1491	1892	748	1128
FBgn0000043	FBgn0000043	Act42A	211	205	186	265	449	178	105	223	58	196	70	185	230	296	159	87	139	103	153	371	351	64	115	663	476	145	130
FBgn0000044	FBgn0000044	Act57B	407	325	4671	7920	5086	5878	154	5899	168	5130	525	334	9120	11287	12168	191	684	400	533	8990	12552	228	832	110	3388	702	393
FBgn0000045	FBgn0000045	Act79B	323	154	279	1	1	72	129	1	62	8	163	469	1	3	1	74	145	309	399	1	2	55	2698	71	0	1309	88
FBgn0000046	FBgn0000046	Act87E	900	569	920	1194	913	1035	391	5400	1029	5742	1760	264	1082	1357	989	336	1330	566	462	924	930	78	473	99	338	265	150
FBgn0000047	FBgn0000047	Act88F	98	46	96	1	0	9	20	1	16	1	74	125	0	1	0	30	47	61	90	1	0	115	5046	296	0	3277	317
FBgn0000052	FBgn0000052	ade2	13	8	16	12	8	51	50	3	26	4	20	73	15	12	15	86	12	18	25	11	11	33	89	28	26	55	99
FBgn0000053	FBgn0000053	ade3	13	13	13	9	19	18	18	4	6	6	5	29	8	9	21	19	10	6	20	10	8	14	78	36	39	54	32
FBgn0000055	FBgn0000055	Adh	284	212	698	1084	487	562	225	394	131	290	270	481	1134	1150	659	397	257	471	533	604	882	292	2613	37	1707	1256	746
FBgn0000056	FBgn0000056	Adhr	302	226	743	1155	518	598	239	420	140	309	286	512	1208	1224	702	422	274	501	567	643	940	310	2780	39	1818	1336	795
FBgn0000057	FBgn0000057	adp	10	6	13	10	9	12	17	6	9	11	9	22	9	10	10	15	9	18	21	9	11	16	25	26	13	18	22
FBgn0000061	FBgn0000061	al	1	1	2	5	4	2	0	4	0	4	0	0	3	2	4	0	1	0	1	3	4	3	0	2	1	0	0
FBgn0000063	FBgn0000063	Mps1	11	6	15	2	4	18	39	3	21	2	7	33	3	3	2	35	10	30	20	2	2	5	1	2	1	4	4
FBgn0000064	FBgn0000064	Ald	131	94	493	657	436	467	199	544	435	382	413	319	502	775	616	227	136	324	507	619	947	130	652	50	317	434	330
FBgn0000075	FBgn0000075	amd	0	1	2	2	1	1	1	0	0	1	1	2	1	1	1	0	0	0	1	1	1	6	3	19	6	7	1
FBgn0000077	FBgn0000077	amx	9	8	9	6	5	5	10	5	6	3	6	15	3	5	4	9	8	8	12	3	3	16	13	13	9	21	22
FBgn0000078	FBgn0000078	Amy-d	72	66	58	49	15	14	5	25	7	44	81	51	35	21	184	124	68	103	358	40	52	77	142	1	10	128	184
