Search Gene	Found FBGN	Found Gene	embryo 00-02hr	embryo 02-04hr	embryo 04-06hr	embryo 06-08hr	embryo 08-10hr	embryo 10-12hr	embryo 12-14hr	embryo 14-16hr	embryo 16-18hr	embryo 18-20hr	embryo 20-22hr	embryo 22-24hr	larva L1	larva L2	larva L3 12hr old	larva L3 puffstage 1-2	larva L3 puffstage 3-6	larva L3 puffstage 7-9	white prepupae new	white prepupae 12hr	white prepupae 24hr	pupae 2d postWPP	pupae 3d postWPP	pupae 4d postWPP	adult male 01day	adult male 05day	adult male 30day	adult female 01day	adult female 05day	adult female 30day
FBgn0000008	FBgn0000008	a	21	8	5	6	10	21	30	25	10	12	11	9	6	5	3	2	5	14	18	19	27	44	12	8	5	7	9	10	10	11
FBgn0000014	FBgn0000014	abd-A	0	5	15	37	39	25	40	24	20	18	13	14	13	7	7	5	14	20	24	18	20	9	3	3	3	2	2	3	1	1
FBgn0000015	FBgn0000015	Abd-B	0	2	7	10	10	6	8	5	5	5	3	3	3	1	1	1	2	3	3	2	3	2	1	1	1	1	2	1	0	0
FBgn0000017	FBgn0000017	Abl	23	23	7	11	15	17	19	18	12	8	14	11	4	3	2	2	6	9	10	11	17	15	6	4	5	6	6	9	14	15
FBgn0000018	FBgn0000018	abo	15	2	3	3	3	2	2	2	1	1	1	1	3	3	3	4	4	5	4	5	6	5	3	3	4	7	7	7	10	11
FBgn0000022	FBgn0000022	ac	2	14	37	23	8	1	1	0	0	0	0	0	0	0	0	1	2	4	3	5	5	1	0	0	0	0	0	0	0	0
FBgn0000024	FBgn0000024	Ace	0	0	0	0	0	1	2	4	7	8	9	13	9	5	2	1	3	5	7	11	10	16	14	6	8	7	7	4	1	1
FBgn0000028	FBgn0000028	acj6	0	0	0	1	1	1	2	2	2	1	1	1	1	0	0	0	1	1	1	2	2	2	2	2	2	3	4	0	0	0
FBgn0000032	FBgn0000032	Acph-1	56	37	12	9	18	20	26	21	32	24	28	30	7	10	12	16	20	27	28	27	18	16	11	7	10	14	11	21	44	42
FBgn0000036	FBgn0000036	nAChRalpha1	0	0	0	0	0	0	1	2	4	4	4	6	4	1	0	0	1	1	1	1	2	4	3	1	1	1	1	0	0	0
FBgn0000037	FBgn0000037	mAChR-A	0	0	0	0	0	0	1	4	9	12	12	12	13	3	1	1	1	1	1	2	4	8	7	3	4	5	6	2	1	1
FBgn0000038	FBgn0000038	nAChRbeta1	0	0	0	1	1	8	16	17	22	23	20	23	20	7	2	1	2	2	1	4	10	31	30	15	17	21	20	9	3	3
FBgn0000039	FBgn0000039	nAChRalpha2	0	0	0	0	0	1	2	7	12	15	14	14	13	4	1	1	2	3	3	6	9	13	11	4	4	4	6	2	1	0
