Search Gene	Found FBGN	Found Gene	imaginal disc, larvae L3 wandering	central nervous system, larvae L3	central nervous system, pupae P8	head, virgin 1-day female	head, virgin 4-day female	head, virgin 20-day female	head, mated 1-day female	head, mated 4-day female	head, mated 20-day female	head, mated 1-day male	head, mated 4-day male	head, mated 20-day male	salivary gland, larvae L3 wandering	salivary gland, white prepupae	digestive system, larvae L3 wandering	digestive system, 1-day adult	digestive system, 4-day adult	digestive system, 20-day adult	fat body, larvae L3 wandering	fat body, white prepupae	fat body, pupae P8	carcass, larvae L3 wandering	carcass, 1-day adult	carcass, 4-day adult	carcass, 20-day adult	ovary, virgin 4-day female	ovary, mated 4-day female	testis, mated 4-day male	accessory gland, mated 4-day male
FBgn0000008	FBgn0000008	a	9	6	18	11	7	7	10	10	7	14	15	13	14	12	4	1	2	2	3	67	30	10	4	5	5	11	20	1	5
FBgn0000014	FBgn0000014	abd-A	6	19	5	0	0	0	0	0	0	0	0	0	0	1	2	1	2	1	30	36	12	42	6	5	5	0	0	6	6
FBgn0000015	FBgn0000015	Abd-B	1	2	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	4	1	2	1	0	0	0	7
FBgn0000017	FBgn0000017	Abl	11	31	24	8	9	5	8	7	6	13	13	11	1	7	2	1	3	2	1	4	9	10	3	3	3	19	18	3	4
FBgn0000018	FBgn0000018	abo	11	2	1	2	2	3	1	1	1	2	3	3	0	3	2	2	3	3	1	2	2	3	1	2	2	8	6	5	4
FBgn0000022	FBgn0000022	ac	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0
FBgn0000024	FBgn0000024	Ace	4	68	180	68	55	24	58	43	26	90	87	68	2	5	4	5	4	4	6	9	23	10	9	8	6	1	0	0	3
FBgn0000028	FBgn0000028	acj6	12	27	31	15	17	6	22	12	6	19	19	12	0	1	0	0	0	0	0	2	12	3	0	1	0	0	0	11	5
FBgn0000032	FBgn0000032	Acph-1	27	11	7	3	4	7	2	4	5	4	6	8	24	60	34	9	7	9	6	15	7	17	5	7	8	60	38	30	25
FBgn0000036	FBgn0000036	nAChRalpha1	1	19	58	8	8	4	9	6	4	13	13	9	0	0	0	0	0	0	0	1	5	2	1	1	1	0	0	0	1
FBgn0000037	FBgn0000037	mAChR-A	2	19	81	27	35	16	38	25	15	49	49	39	0	0	0	0	0	0	0	0	8	2	2	3	3	0	0	1	1
FBgn0000038	FBgn0000038	nAChRbeta1	4	20	233	106	108	48	108	97	43	135	173	108	0	1	0	0	0	0	0	1	29	4	9	11	6	0	0	1	3
FBgn0000039	FBgn0000039	nAChRalpha2	2	20	50	8	6	6	5	7	7	16	14	13	0	0	0	0	0	0	0	1	6	3	1	1	1	0	0	0	1
FBgn0000042	FBgn0000042	Act5C	2141	5385	2816	775	808	265	961	566	347	899	1057	784	1885	2069	2469	2131	3103	2481	1295	2223	2678	3162	397	503	413	1019	2268	691	709
FBgn0000043	FBgn0000043	Act42A	569	650	289	31	14	21	18	17	17	25	21	27	75	167	526	114	67	195	17	193	213	409	27	21	24	126	118	267	95
FBgn0000044	FBgn0000044	Act57B	69	138	145	2524	529	437	1415	527	391	1377	477	729	12	8	98	598	404	371	2	4	109	2261	1474	801	546	36	13	48	232
FBgn0000045	FBgn0000045	Act79B	0	1	164	317	68	29	234	23	22	279	64	57	0	3	1	20	6	3	1	0	82	11	3876	933	179	0	0	4	9
FBgn0000046	FBgn0000046	Act87E	135	81	713	864	321	61	918	182	72	487	215	148	14	13	70	234	259	67	5	39	638	986	3073	1119	420	4	4	730	396
FBgn0000047	FBgn0000047	Act88F	0	1	47	23	3	3	3	1	2	7	2	4	0	2	0	13	6	0	0	0	33	6	2915	389	65	0	0	1	1
FBgn0000052	FBgn0000052	ade2	6	6	3	27	15	42	16	43	34	29	31	43	1	6	5	6	5	7	71	99	9	9	33	35	53	26	21	12	6
FBgn0000053	FBgn0000053	ade3	6	4	1	17	10	23	16	12	19	15	11	21	2	10	8	3	2	3	141	212	1	10	15	12	13	8	7	3	4
FBgn0000055	FBgn0000055	Adh	14	5	21	2429	2081	4978	1584	2082	3536	2548	3200	5206	21	24	54	794	515	712	1385	141	68	61	2224	2529	3021	274	195	157	190
FBgn0000056	FBgn0000056	Adhr	15	5	22	2585	2213	5299	1683	2215	3762	2711	3403	5541	23	26	57	846	548	758	1474	150	72	65	2366	2691	3214	292	208	167	202
FBgn0000057	FBgn0000057	adp	28	9	10	10	7	10	5	6	10	9	12	14	14	20	9	7	5	7	10	14	11	10	9	10	9	26	21	71	20
FBgn0000061	FBgn0000061	al	27	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	1	16	0	0	0	0	0	0	0
FBgn0000063	FBgn0000063	Mps1	22	16	2	1	2	1	1	1	2	1	2	3	0	1	2	1	3	2	0	4	3	7	1	3	2	59	59	10	5
FBgn0000064	FBgn0000064	Ald	143	72	89	422	277	328	317	203	300	454	352	357	43	20	41	181	146	194	144	66	117	146	1128	756	472	75	57	180	142
FBgn0000075	FBgn0000075	amd	3	0	2	2	1	1	1	0	1	1	1	1	0	0	0	1	1	0	0	0	11	1	0	0	0	1	1	2	0
FBgn0000077	FBgn0000077	amx	1	4	4	3	4	4	4	4	3	5	5	8	5	9	7	4	4	4	2	4	3	3	3	5	3	12	15	1	6
FBgn0000078	FBgn0000078	Amy-d	141	0	0	6	9	27	6	9	29	17	19	51	7	0	368	2857	1846	4991	0	0	4	2	79	68	171	0	0	40	34
FBgn0000079	FBgn0000079	Amy-p	324	1	1	5	7	50	9	5	79	8	14	62	7	1	448	7825	4570	15045	2	0	19	6	256	229	587	0	0	137	112
FBgn0000083	FBgn0000083	AnxB9	63	42	37	36	37	67	29	32	47	47	51	79	26	32	96	72	49	73	48	42	97	72	80	54	74	30	19	38	49
FBgn0000084	FBgn0000084	AnxB10	13	24	14	41	40	51	42	38	44	54	43	52	15	26	22	14	12	16	10	9	19	22	28	29	34	21	19	40	53
FBgn0000092	FBgn0000092	CG2650	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0
FBgn0000097	FBgn0000097	aop	29	21	24	12	10	10	8	8	7	14	11	12	7	102	12	9	13	11	3	37	29	29	8	8	7	31	27	2	4
FBgn0000100	FBgn0000100	RpLP0	1014	571	235	298	454	831	258	430	627	283	320	561	338	594	455	559	464	572	350	234	415	709	298	372	553	405	349	373	753
FBgn0000108	FBgn0000108	Appl	19	285	410	141	142	79	149	130	78	220	251	180	0	5	1	1	1	1	0	11	79	40	15	15	10	1	1	0	8
FBgn0000109	FBgn0000109	Aprt	7	6	5	16	8	9	16	8	8	12	8	10	11	3	9	17	13	8	11	21	8	8	10	10	7	17	17	8	7
FBgn0000114	FBgn0000114	aret	43	7	11	6	7	5	6	5	4	7	7	7	0	1	2	3	6	4	6	17	20	2	12	13	10	128	143	105	33
FBgn0000115	FBgn0000115	Arl1	70	76	40	35	24	29	21	26	25	20	34	44	43	44	52	60	46	44	26	41	72	56	24	28	28	87	58	98	143
FBgn0000116	FBgn0000116	Argk	170	207	263	286	225	173	260	175	142	390	318	306	9	10	73	369	286	258	4	29	167	225	465	296	172	87	85	146	91
FBgn0000117	FBgn0000117	arm	139	228	237	69	66	72	56	57	55	95	88	118	13	81	73	45	43	62	19	64	183	162	30	33	36	156	128	40	54
FBgn0000119	FBgn0000119	arr	32	14	10	5	4	6	3	4	4	7	6	8	1	2	5	4	4	5	3	10	5	19	3	3	3	6	6	9	4
FBgn0000120	FBgn0000120	Arr1	1	0	1	630	916	1266	519	776	883	993	1445	1848	0	1	0	0	0	0	0	0	6	10	1	2	1	0	1	9	2
FBgn0000121	FBgn0000121	Arr2	0	0	5	1523	2168	2698	1286	1977	2042	2615	3025	3965	1	3	0	0	1	1	0	0	6	19	2	6	2	0	2	5	2
FBgn0000137	FBgn0000137	ase	2	17	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0
FBgn0000139	FBgn0000139	ash2	18	13	5	3	4	8	4	4	6	4	5	8	0	1	5	4	4	6	2	4	8	8	2	3	5	17	14	7	7
FBgn0000140	FBgn0000140	asp	21	11	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	1	0	3	2	8	1	3	2	72	55	10	3
FBgn0000150	FBgn0000150	awd	1097	751	175	555	362	540	366	247	480	402	274	469	197	162	401	461	377	426	201	183	407	684	335	340	434	1141	853	699	661
FBgn0000152	FBgn0000152	Axs	6	5	1	3	3	3	5	3	2	4	3	5	2	2	4	2	2	2	2	2	2	12	3	2	2	8	6	1	3
FBgn0000153	FBgn0000153	b	0	4	0	5	3	5	4	5	4	5	7	11	0	2	1	0	0	0	1	3	2	64	26	20	10	0	0	1	0
FBgn0000157	FBgn0000157	Dll	36	10	8	3	4	4	3	3	4	7	6	6	0	2	0	0	0	0	0	2	4	14	3	3	5	0	0	0	0
FBgn0000158	FBgn0000158	bam	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	53	38	1	1
FBgn0000163	FBgn0000163	baz	3	2	1	2	2	3	2	2	2	4	4	4	0	0	2	3	3	3	0	1	1	3	3	3	3	5	5	2	1
FBgn0000166	FBgn0000166	bcd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	1	3	2	61	46	0	0
FBgn0000173	FBgn0000173	ben	83	136	74	59	54	54	46	54	39	63	84	80	86	202	250	64	52	58	38	85	49	111	35	39	36	115	93	17	32
FBgn0000179	FBgn0000179	bi	30	60	26	7	9	3	9	6	6	10	11	9	0	1	1	0	0	0	2	3	12	16	1	1	1	0	0	1	1
FBgn0000180	FBgn0000180	bib	26	17	17	3	2	2	2	2	2	4	4	5	0	2	12	0	1	4	0	3	4	15	0	1	1	0	0	1	1
FBgn0000181	FBgn0000181	bic	698	546	206	201	258	244	172	221	205	240	251	262	73	107	280	220	226	215	101	139	366	480	164	237	262	706	595	411	613
FBgn0000182	FBgn0000182	BicC	21	0	1	0	1	0	3	0	0	0	0	1	0	0	0	5	16	11	0	4	3	0	9	23	15	618	393	67	16
FBgn0000183	FBgn0000183	BicD	18	18	41	18	16	11	15	15	11	26	26	21	16	110	17	16	17	13	3	7	19	24	10	13	10	71	60	9	18
FBgn0000206	FBgn0000206	boss	0	0	4	54	37	29	41	28	22	78	49	36	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	2	0
FBgn0000212	FBgn0000212	brm	40	82	34	13	12	11	13	14	10	17	22	25	3	6	9	8	11	12	6	14	19	48	9	13	9	58	66	3	12
FBgn0000221	FBgn0000221	brn	6	3	2	2	3	2	0	1	2	5	3	5	1	2	2	3	3	3	1	1	2	4	2	1	2	10	9	14	3
FBgn0000227	FBgn0000227	Bsg25A	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000228	FBgn0000228	Bsg25D	9	15	13	9	11	10	12	10	9	17	17	19	2	6	10	6	8	8	5	9	7	15	9	11	10	45	44	2	19
FBgn0000229	FBgn0000229	bsk	18	31	51	29	24	18	17	20	12	36	38	39	4	3	17	12	12	14	3	8	8	16	6	6	6	3	3	4	6
FBgn0000233	FBgn0000233	btd	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0
FBgn0000239	FBgn0000239	bur	37	34	20	23	24	34	18	28	24	23	30	42	9	23	30	16	19	18	22	23	19	38	20	27	27	124	90	29	21
FBgn0000244	FBgn0000244	by	3	3	3	10	14	13	11	10	11	16	13	18	4	1	5	13	12	15	1	0	3	10	14	13	13	3	2	2	13
FBgn0000246	FBgn0000246	c(3)G	7	3	3	2	2	1	3	2	1	2	3	4	1	1	1	2	3	1	1	2	5	2	2	3	3	49	43	1	2
FBgn0000247	FBgn0000247	ca	19	17	15	8	8	12	8	8	10	14	14	14	1	3	5	6	7	8	2	5	6	10	9	9	9	26	20	11	9
