gene	locus	altname	fpkm (geomean)
na	b0001		-22.7
thrB	b0003		6.61
na	b0005		4.542
na	b0006		4.545
yaaJ	b0007		2.589
thrC	b0004		6.578
satP	b0010		3.551
mog	b0009		4.238
yaaI	b0013		-5.868
thrA	b0002		6.836
yaaW	b0011		1.482
na	b0012		-16.91
talB	b0008		7.432
insL-1	b0016		3.764
na	G0-8893		-22.7
dnaJ	b0015		4.971
nhaA	b0019		4.118
nhaR	b0020		3.837
na	b4412		-14.51
na	b0018		-0.2068
na	b4413		-22.7
na	b0024		-10.21
na	G0-10535		1.893
insB-1	b0021		-9.823
na	b0022		1.405
na	b0023		8.143
ribF	b0025		5.456
dnaK	b0014		6.868
na	b0028		4.935
rihC	b0030		3.098
ispH	b0029		4.936
dapB	b0031		5.968
ileS	b0026		5.987
lspA	b0027		5.04
carA	b0032		5.756
caiD	b0036		0.6219
caiE	b0035		1.096
caiF	b0034		4.607
caiC	b0037		2.129
caiB	b0038		2.086
caiT	b0040		0.11
na	b0041		0.3982
yaaU	b0045		-0.2136
fixB	b0042		-0.02251
caiA	b0039		2.88
apaH	b0049		4.019
folA	b0048		4.785
fixC	b0043		0.2319
na	b0044		-10.3
kefF	b0046		3.251
kefC	b0047		3.019
na	b0050		5.044
rsmA	b0051		5.077
pdxA	b0052		4.394
na	b0053		5.794
djlA	b0055		3.676
carB	b0033		5.826
yabP	b0056		4.082
na	b0057		6.534
rluA	b0058		3.674
araD	b0061		0.7902
polB	b0060		2.848
araB	b0063		1.022
rapA	b0059		3.69
araA	b0062		1.734
yabI	b0065		3.311
araC	b0064		4.097
na	G0-9381		-22.7
lptD	b0054		5.972
na	b4577		6.388
na	b4662		-21.57
sgrR	b0069		3.198
setA	b0070		3.426
thiQ	b0066		3.222
thiP	b0067		2.46
thiB	b0068		4.918
leuD	b0071		6.799
leuC	b0072		6.7
na	b0075		-22.7
leuO	b0076		2.031
na	b0078		5.952
cra	b0080		4.775
mraZ	b0081		5.632
ilvI	b0077		5.817
na	b0082		5.105
na	b0083		4.744
leuB	b0073		6.542
leuA	b0074		6.644
ftsI	b0084		4.675
murE	b0085		5.077
murF	b0086		4.93
mraY	b0087		4.424
murD	b0088		4.791
ftsW	b0089		4.649
murG	b0090		4.546
murC	b0091		5.002
ddlB	b0092		5.362
na	b0093		5.178
ftsA	b0094		5.084
na	b0095		6.402
na	b0097		5.151
na	b0099		3.399
na	b0101		5.478
lpxC	b0096		7.037
zapD	b0102		4.604
na	b0103		4.296
ppdD	b0108		-12.15
hofC	b0106		1.882
hofB	b0107		1.981
secA	b0098		5.286
nadC	b0109		4.658
guaC	b0104		6.016
ampD	b0110		4.258
ampE	b0111		3.807
pdhR	b0113		4.477
na	G0-8894		-21.52
aroP	b0112		5.999
aceF	b0115		6.212
aceE	b0114		6.401
yacH	b0117		0.8467
lpd	b0116		6.666
na	b0119		4.893
na	b0122		5.168
speD	b0120		5.915
speE	b0121		5.62
cueO	b0123		4.874
hpt	b0125		5.435
gcd	b0124		4.204
yadI	b0129		3.3
na	b0130		2.631
yadG	b0127		4.326
yadH	b0128		4.339
rpnC	b0132		1.703
can	b0126		6.812
panD	b0131		6.933
acnB	b0118		6.401
panC	b0133		6.175
yadK	b0136		0.2957
na	b0137		1.622
yadC	b0135		1.662
yadM	b0138		1.44
htrE	b0139		1.403
yadN	b0141		-7.128
yadV	b0140		-1.26
panB	b0134		6.021
gluQ	b0144		2.813
na	b0142		3.725
pcnB	b0143		5.373
thpR	b0147		3.526
sfsA	b0146		4.749
dksA	b0145		6.862
hrpB	b0148		3.284
mrcB	b0149		3.975
fhuC	b0151		3.427
fhuD	b0152		3.41
fhuB	b0153		2.387
na	b0156		5.544
clcA	b0155		3.49
hemL	b0154		5.319
yadS	b0157		2.893
dgt	b0160		3.979
fhuA	b0150		5.115
na	b0158		2.805
mtn	b0159		6.217
cdaR	b0162		2.411
degP	b0161		4.966
yaeI	b0164		2.067
yaeH	b0163		7.033
glnD	b0167		4.012
dapD	b0166		7.203
map	b0168		5.973
na	b4414		9.172
pyrH	b0171		5.254
rpsB	b0169		7.936
tsf	b0170		7.007
dxr	b0173		3.366
ispU	b0174		5.15
na	b0172		7.017
cdsA	b0175		4.637
rseP	b0176		5.621
na	b0178		6.531
lpxD	b0179		6.332
fabZ	b0180		6.721
bamA	b0177		6.098
lpxA	b0181		5.894
lpxB	b0182		4.712
rnhB	b0183		3.957
dnaE	b0184		4.194
yaeR	b0187		4.295
ldcC	b0186		3.775
accA	b0185		5.885
tilS	b0188		3.687
na	b0189		5.942
na	b4406		6.699
nlpE	b0192		4.08
yaeF	b0193		1.065
yaeQ	b0190		4.145
na	b0191		3.524
trmO	b0195		3.8
rcsF	b0196		5.714
proS	b0194		5.881
na	b0205		-22.7
na	b0202		-22.7
gmhB	b0200		4.614
na	b0203		-22.7
na	b0201		2.251
na	b0204		1.494
na	b0206		-22.7
na	b0198		4.868
metN	b0199		5.245
dkgB	b0207		3.716
yafC	b0208		1.494
na	b0210		3.389
metQ	b0197		7.002
yafD	b0209		5.316
gloB	b0212		4.669
yafT	b0217		1.377
mltD	b0211		5.735
na	b0216		-22.7
na	b4503		-19.09
yafS	b0213		4.006
rnhA	b0214		4.605
dnaQ	b0215		5.004
yafU	b0218		-8.816
yafV	b0219		3.937
ykfM	b4586		-4.599
na	G0-8896		-22.7
ivy	b0220		6.067
fadE	b0221		2.909
lpcA	b0222		5.961
na	b0225		4.935
yafL	b0227		2.09
na	b0226		5.879
rayT	b0228		3.628
lfhA	b0229		0.5819
na	b0230		0.8367
yafJ	b0223		4.994
yafK	b0224		5.651
na	b0232		3.671
yafO	b0233		3.104
yafP	b0234		1.956
dinB	b0231		3.049
na	b0235		-18.58
prfH	b0236		-1.109
gpt	b0238		5.392
