gene_id,NEUTRAL,SELECTED,locus,fpkm_geomean
rssA,0.03095367575914661,0.0261583113226583,b1234,4.589
hscA,0.01673245636113531,0.0183128913878189,b2526,4.606
ispH,0.03464549404606647,0.03340270124905084,b0029,4.936
dnaG,0.01954337605512333,0.0104162628142312,b3066,4.854
ldtA,0.02559673833652191,0.03103542311241984,b1990,4.609
tgt,0.02703150697633685,0.01792673498411995,b0406,4.856
pabA,0.03894769668362742,0.0370971907281431,b3360,3.329
napB,0.05533164153035948,0.05710022300931391,b2203,2.676
glnA,0.02980185068501644,0.02085382607313472,b3870,7.263
pgk,0.0604310662963206,0.02685623947825718,b2926,7.467
menB,0.04106310848670119,0.04144743986277392,b2262,4.963
argB,Inf,0.05706722174353267,b3959,5.559
rseB,Inf,0.02119324097700681,b2571,5.265
cysI,0.02558572235800157,0.0123897480740199,b2763,5.737
can,0.03588407304468326,0.04569443281310842,b0126,6.812
aqpZ,0.0978678257885556,0.04200820648939932,b0875,3.294
cysE,0.05394768002787235,0.02990258825423661,b3607,4.916
opgB,0.01601685256934382,0.00986617860121089,b4359,3.864
glgA,0.02198217375938729,0.01637519491634468,b3429,5.964
yjjG,0.03835601962811595,0.02785065746219592,b4374,4.102
thiK,Inf,0.02797156214881794,b1106,3.775
lolE,0.07169996791867159,0.02082855437219934,b1118,4.433
leuA,0.02030720835830446,0.01916466731114206,b0074,6.644
arcB,0.01208917440879896,0.01043991500184277,b3210,4.241
recX,0.0692258988076406,0.05271176148661944,b2698,1.411
dcrB,Inf,Inf,b3472,5.293
sspA,Inf,0.03438176140582939,b3229,6.076
recA,0.08748379083332412,0.03116494364219192,b2699,6.015
pqiA,0.02958615950463554,0.01725242896277656,b0950,2.887
nrfB,0.08598393678138934,0.03657985102519735,b4071,1.29
mrcB,0.07457629298327874,0.01001719679161197,b0149,3.975
proS,Inf,0.01755757460156905,b0194,5.881
marR,0.08451027620121028,0.04383510974255023,b1530,3.321
pepT,0.04287769611110207,0.0187255105619109,b1127,5.407
murJ,0.07386065636197735,0.01960984435945201,b1069,3.13
potF,0.07392203382021668,0.02163103968560067,b0854,4.758
lysC,0.0272916531119244,0.02238809198323446,b4024,6.845
moaC,Inf,0.09292587657098147,b0783,5.733
bssR,0.09397629930780112,Inf,b0836,6.426
pmbA,0.02815567248204528,0.01937220363840865,b4235,4.907
secD,Inf,0.0156424314245769,b0408,5.346
zitB,0.03431685024636378,0.02113119710266875,b0752,3.803
cspD,Inf,Inf,NA,NA
mltA,Inf,0.02453014991941154,b2813,4.433
pta,0.03240978421512272,0.01710031124984274,b2297,5.601
frsA,0.02489558628118449,0.01835167450988276,b0239,4.518
yigL,0.03063109131958403,0.02805971956231163,b3826,4.432
mpl,0.02354966589915651,0.02058694455230154,b4233,5.22
glpX,0.03750005260438775,0.03026413729013703,b3925,4.155
mnmC,0.01879504355166943,0.01170629876086667,b2324,3.317
betB,0.03391992551525408,0.02338588831882995,b0312,3.239
nhaB,0.02829308384114887,0.01796353865943376,b1186,4.31
nrdI,Inf,0.10159046310832023,b2674,4.229
dusC,0.04242985297280981,0.02900352710513839,b2140,2.732
trkH,0.03908166540694968,0.01808109733577929,b3849,3.925
bacA,0.03957805885618268,0.03377655771689547,b3057,4.06
zinT,0.07884303970902479,0.03275864666692444,b1973,2.242
rimJ,0.03859481602852814,0.03264016901695318,b1066,5.108
holB,0.02789505981808697,0.02552723035600184,b1099,3.649
ribF,0.03666323837775303,0.02093164544105261,b0025,5.456
sapD,0.03373182947303619,0.02209271550536188,b1291,4.265
