Filename,MG94_AIC,FA1_AIC,SynREVCodon_AIC
FBgn0030323,4561.689625331443,4563.704607304127,4602.984677252045
FBgn0001983,10205.54180492584,10207.56551085529,10239.2286201277
FBgn0030847,5751.771269044144,5752.599600915495,5789.163035521883
FBgn0263316,28958.35587933482,28959.3873026513,28995.70141321501
FBgn0035475,3996.958532770384,3996.042486019237,4015.500991641006
FBgn0031653,5039.412005511069,5039.59900207151,5048.131841081703
FBgn0036155,7904.443998441169,7903.4568081326825,7925.022822023076
FBgn0033378,2754.404390940175,2754.599125791067,2833.55229727583
FBgn0050284,9723.506494554753,9723.284347836376,9754.860494653954
FBgn0052536,4338.774141338463,4340.83098146824,4356.028518031096
FBgn0000039,8683.96043270928,8682.482245008185,8698.95282888634
FBgn0050464,18281.14436871364,18280.31054132329,18299.80489679319
FBgn0031107,72359.05917939647,72349.44894380747,72272.29748718305
FBgn0263050,12095.5396769603,12097.26933041031,12110.17006237193
FBgn0261287,5277.344221334387,5277.83462239612,5331.981655258077
FBgn0263199,9951.192818658938,9949.242309916744,9959.480242318734
FBgn0033307,1514.068837149317,1506.609637149032,1579.79743965848
FBgn0025681,18440.65466201805,18442.66663108528,18462.35031557882
FBgn0044030,2228.178525611742,2226.926558879211,2270.083698641063
FBgn0033725,6175.809609644723,6177.336430863403,6230.049133595058
FBgn0034307,15585.85677985038,15587.46192237401,15622.1435187516
FBgn0002673,6110.667605863567,6112.703714570247,6164.658380743203
FBgn0263289,28778.61438343211,28779.43019494086,28805.83864956454
FBgn0035462,12626.79504916333,12628.77299746606,12632.5147057544
FBgn0040918,7025.442613332223,7022.019794682714,7047.899455462805
FBgn0000108,13643.17737256318,13644.82631402435,13617.87519103379
FBgn0030504,27840.87558710166,27842.88204159257,27820.50519508993
FBgn0035694,2555.96378682469,2554.836368206074,2618.493450071443
FBgn0038915,4749.079140469324,4750.485509533819,4791.525405917214
FBgn0024182,7904.717101644582,7906.583868087349,7956.803771286687
FBgn0032144,9532.441880219776,9531.312660296566,9499.056370852824
FBgn0034454,5152.875368918368,5153.848305301706,5156.969402798145
FBgn0036144,9215.768085492924,9217.761771419846,9234.35746067513
FBgn0030066,5427.073501751523,5428.229389547923,5458.645175756659
FBgn0030394,4264.628414970604,4266.673729490924,4309.237102305401
FBgn0051717,4886.158387545308,4888.219881683593,4955.781251286055
FBgn0037085,5847.508749939306,5849.389351704885,5902.853417125467
FBgn0000520,13283.13722691517,13284.79371003462,13301.27981668314
FBgn0039417,7860.9997703668,7860.519312852346,7893.334830382729
FBgn0036160,10153.96002479512,10155.98824944,10175.68589339191
FBgn0262738,16286.32356718818,16287.59936656317,16299.57371669404
FBgn0085236,2717.282575672419,2719.347657604137,2802.521920943318
FBgn0040475,9550.140697981782,9552.086934312154,9583.972208134786
FBgn0044328,10507.81257435209,10509.63761226761,10536.18280140938
FBgn0035611,4992.246853166193,4994.09089620235,5058.322233817131
FBgn0051126,2997.048251004075,2998.706389355219,3026.192506316255
FBgn0039694,6277.351693407398,6276.582111554378,6329.088364451769
FBgn0000546,9528.364470909835,9530.370537711302,9580.295886151753
FBgn0035256,14557.78204981645,14553.45163667845,14571.25570583872
FBgn0086710,1363.342978276101,1364.117128608368,1460.598825041736
FBgn0036641,5140.313982532511,5142.117996559567,5167.029924136021
FBgn0028382,5450.618746530396,5452.489807975739,5495.333029083597
FBgn0030575,6800.297479329622,6802.243754322945,6798.784654741145
FBgn0015799,13825.71003032289,13825.78226866172,13852.94181228256
FBgn0001325,9734.964743239148,9734.467508530208,9782.315461403256
FBgn0039862,15079.88125503581,15081.39685151228,15048.9690719119
FBgn0031146,2031.62988267997,2033.182674272927,2094.674695526794
FBgn0030163,6666.871405016194,6666.417833877832,6717.773395303821
FBgn0051030,8254.872448908378,8254.367248877023,8286.495646871617
FBgn0031945,5317.390345188664,5319.306620157597,5387.144001639079
FBgn0062411,7493.580286710014,7495.621608292113,7554.744633347655
FBgn0054001,2900.148759576222,2902.108863814484,2965.75084316622
FBgn0034261,18086.71739965844,18088.284275363,18115.93846321515
FBgn0042129,4996.699462281058,4998.449332676253,5049.233210320673
FBgn0033948,10645.18669712483,10647.21014014973,10692.29532053673
FBgn0038865,9054.97951997025,9056.919849971648,9074.425134926065
FBgn0034459,19855.05208015694,19856.79346191094,19910.98580474257
FBgn0035121,17274.26273554084,17274.24235544621,17304.32102983242
FBgn0051683,9378.45269926412,9376.865829450193,9427.479033538126
FBgn0004456,24938.666283921,24936.61523799047,24914.64343642132
FBgn0052641,3824.052953815874,3823.779859686281,3890.605179049651
FBgn0262009,3522.16804600224,3524.264393766323,3604.038190428294
FBgn0051036,19071.10683708153,19072.04701933046,19120.76107933687
FBgn0037956,8098.334590113559,8096.976160853815,8088.139648221279
FBgn0031321,9485.424789204342,9485.33210446223,9466.907293910936
FBgn0039687,4402.900764097148,4401.837046376188,4444.647013278995
FBgn0053510,8700.196538252816,8701.832994449018,8737.524953212138
FBgn0004369,20481.10394959521,20482.68278536056,20492.42777010956
FBgn0022787,40989.90013038475,40987.31704683908,40955.90511288985
FBgn0031634,19888.83692299741,19890.76679540027,19837.15359794488
FBgn0035445,10624.50683487394,10624.37556290462,10642.46279601153
FBgn0000394,3630.61254288547,3632.106646027421,3672.243860566462
FBgn0033401,11788.99584012954,11791.0152394119,11802.48331894178
FBgn0052170,10787.59984676144,10788.90451583218,10818.42390444953
FBgn0034379,14058.80500585487,14060.17126029887,14085.91384603091
FBgn0036089,4515.753162497562,4517.814422237077,4529.484481760931
FBgn0027378,7356.253966745608,7358.286179795089,7351.919156873494
FBgn0004567,5701.538669911036,5703.548965364827,5752.429004231108
FBgn0036236,5884.745769909741,5885.018469855085,5935.782620603266
FBgn0039799,6739.209679625055,6739.876526420364,6777.941206968933
FBgn0010611,8439.818915770467,8441.670539106502,8461.089647592493
FBgn0250847,8601.735323135084,8603.101217358462,8666.486465955524
FBgn0259734,18813.89553219243,18815.34354580456,18835.80085415916
FBgn0025571,14553.28429663433,14553.7197480739,14555.11462515651
FBgn0036814,32037.87880758883,32037.23812708448,32039.45467100218
FBgn0000625,10829.40933021149,10829.13663752927,10784.66765216299
FBgn0014029,6421.484913777656,6408.666421807477,6459.222462851764
FBgn0050273,2681.298549514514,2683.088402800941,2740.158602992317
FBgn0266053,15447.62880044727,15449.62016717447,15492.99458086781
FBgn0038718,8182.702481882195,8180.993726347753,8241.521598249179
FBgn0032979,10117.61976221418,10118.81418406333,10191.24116830913
FBgn0036937,12883.30874535438,12884.90804044795,12902.41911779582
FBgn0031816,7629.763193818907,7631.793761893628,7666.582135901913
FBgn0036853,4788.885496806281,4789.234801581963,4829.477551700176
FBgn0005677,11815.50008676178,11817.51291559713,11862.72092368466
FBgn0003292,16280.95201690491,16280.74769192967,16289.31018074824
FBgn0037012,7256.041599010998,7256.365099516926,7285.214665876106
FBgn0002535,2281.56824515306,2277.061111005253,2364.532955226032
FBgn0002931,8525.910394493209,8518.152213225187,8580.934704589581
FBgn0040370,4317.793038829858,4318.758416145283,4384.772600149874
FBgn0005775,13870.87058797725,13872.8888672754,13867.92499072788
FBgn0039258,6334.205143305555,6334.510812788141,6359.261166406521
FBgn0030932,12810.66136604934,12810.83893995663,12808.3617413515
FBgn0032162,6883.212683063375,6884.312266043001,6921.030574751744
FBgn0038909,9794.967621930642,9796.79781047501,9841.529715312734
FBgn0052251,25909.15029200025,25905.84416090253,25937.43395903594
FBgn0034271,18383.14782884771,18383.5109723366,18425.472617116
FBgn0038396,4987.157757192451,4988.850073208513,5044.584311136693
FBgn0259702,11170.85509866677,11170.4489848547,11202.84028383726
FBgn0046222,13752.42676407709,13752.369783555,13784.55515815689
FBgn0034997,11468.36379518127,11470.37855523438,11519.45262748379
FBgn0035558,10640.81269627353,10642.76732008685,10674.45024172444
FBgn0036309,24451.55715692557,24453.57029267035,24486.87036366219
FBgn0053920,3259.18820929153,3260.725537525327,3348.712965126991
FBgn0035900,13803.11192202004,13803.9780178658,13829.30116205718
FBgn0261277,3239.651868416387,3240.134977026649,3290.742734012604
FBgn0061361,6033.450933174908,6035.218947605985,6069.534992783725
FBgn0027052,5424.375910805791,5425.839140744862,5494.914458237747
FBgn0033137,5206.438401868409,5208.341010077363,5240.046615961697
FBgn0085318,2697.386160440029,2697.205513515488,2769.471613168169
FBgn0035143,8157.847928904882,8159.243139049526,8200.560471884357
FBgn0037046,6180.559471945606,6180.093317664948,6239.889963830657
FBgn0052246,18462.51987474945,18464.46278155201,18475.97351192994
FBgn0039101,6204.341922925022,6204.494569311985,6258.200900041779
FBgn0037581,11529.46629448065,11529.9558904531,11578.73391579947
FBgn0010397,10828.50007599083,10829.43379495848,10776.82567804741
FBgn0035468,9654.663335832383,9655.02574023559,9653.19390885718
FBgn0001142,8654.066376420087,8653.609767236803,8633.136954277323
FBgn0035540,6836.895667259489,6836.223341391592,6878.086283526985
FBgn0038741,9708.437170317997,9710.474973933582,9765.354742946934
FBgn0032781,8225.903021351916,8223.883774342352,8257.26541833251
FBgn0011832,5814.33790051404,5815.267682559237,5879.486991858869
FBgn0038306,10737.20030913908,10739.20741595444,10769.38668865496
FBgn0037384,4562.089470798871,4563.969909326401,4629.932900474761
FBgn0003714,1783.987550698577,1785.672975173547,1890.79113578736
FBgn0259982,3720.442989315452,3722.000360706137,3786.66922524265
FBgn0030385,19094.12469135814,19090.22722080364,19078.2645651345
FBgn0028530,9901.162326813785,9902.944104833165,9910.460105561866
FBgn0014931,10036.72108580221,10037.23717476076,10108.79263153089
FBgn0053306,6050.790787856592,6050.640124986858,6091.987056633992
FBgn0060296,12070.6151862103,12071.81417640212,12101.1908415236
FBgn0028963,8153.873547841724,8155.879538594599,8218.34385266777
FBgn0031611,16666.83261244405,16668.59794934995,16719.4699104352
FBgn0050159,4847.979316341042,4846.395525664571,4884.063919550408
FBgn0027518,14677.98480743917,14679.92579424933,14735.27873180463
FBgn0030918,7645.779151885498,7643.094319654179,7706.34080828151
FBgn0036945,2589.835006084531,2583.39484196015,2643.565073604919
FBgn0051368,31489.49659111774,31481.95231858809,31524.33595281305
FBgn0052668,10273.41840477364,10275.41976465013,10345.89766672391
FBgn0052712,2872.037210254524,2873.567264435971,2937.982969712305
FBgn0033479,22566.42723734627,22565.2122354334,22566.49041266636
FBgn0286833,4638.912392291524,4640.508657519422,4702.96982587926
FBgn0039896,11157.33680171228,11159.3049028069,11184.59185027544
FBgn0037634,6587.397004522007,6589.392152928142,6618.696731763451
FBgn0032366,4886.135878614973,4888.195712023818,4963.030130623314
FBgn0034377,5202.18036267053,5203.219832480389,5260.606165196962
FBgn0033341,4245.204087330389,4247.158772954546,4292.508863362581
FBgn0030161,4444.456803186906,4445.776181120776,4503.139747723019
FBgn0025635,7952.065318129108,7947.266363963954,7959.048367937606
FBgn0260434,4839.345531419409,4841.140550883056,4874.732339001242
FBgn0052645,10924.7243797981,10925.92458633055,10972.06692198681
FBgn0031059,1763.687535668776,1760.143511953077,1849.370155144407
FBgn0040752,26087.63492752888,26087.34839388142,26098.22242707201
FBgn0263863,7510.526788558962,7512.432356052998,7552.702983322468
FBgn0031632,4957.183756267303,4959.084596777111,5007.145550408582
FBgn0067311,5209.383648943523,5208.37296060987,5246.129861081577
FBgn0052243,8914.857766247675,8916.197339197053,8971.406667283343
FBgn0052499,7904.401067961498,7897.00314193265,7946.2124845662775
FBgn0036361,8439.944756898682,8441.450233043985,8485.779511827657
FBgn0041156,9824.8318564958,9826.82842946312,9824.912981214826
FBgn0000119,28131.35094903685,28124.02920458686,28148.40488511342
FBgn0036596,2691.178821619807,2683.436704023121,2752.079180401819
FBgn0015776,6806.8467906163,6804.759782074357,6804.816526427087
FBgn0052675,7271.533832243996,7271.293676514806,7302.635252082673
FBgn0036242,8167.186072565933,8168.219331688056,8225.918586702372
FBgn0260862,4861.169972424304,4863.089310567437,4903.516354798236
FBgn0039588,15091.82843823762,15087.73270964663,15085.01231627257
FBgn0033661,127500.0011716673,127501.9146120575,127356.6470604912
FBgn0265052,7908.73510434468,7910.756340219904,7981.912103065093
FBgn0037877,15075.30544146718,15077.25417463043,15134.87494205693
FBgn0033212,24590.42117653754,24592.4237326988,24636.6763134854
FBgn0039598,12612.15327185569,12614.03565363964,12604.77097907093
FBgn0052054,7327.4025090274,7329.435870898466,7383.533944797739
FBgn0015240,12426.42658880628,12427.85878640598,12435.06383722666
FBgn0025629,4900.076246409291,4901.311868344083,4949.625332513449
FBgn0038115,10271.37651948702,10270.90329403027,10315.57004474416
FBgn0035854,7648.226574753227,7646.531706315847,7682.465636157494
FBgn0024986,2515.486733720733,2513.952566217098,2580.835857165502
FBgn0261580,2096.084258256628,2097.092680808834,2186.689330194198
FBgn0039088,8290.771987010545,8292.804013789486,8354.51780320912
FBgn0030313,6668.746339053017,6670.661920969723,6730.7053424223805
FBgn0030364,2884.749763037114,2886.807495808114,2931.407734735761
FBgn0052405,1997.736886760592,1999.11321964226,2061.165726641957
FBgn0051220,6461.609150648813,6460.469574057112,6530.528036773752
FBgn0041182,18688.26747031459,18690.27435689099,18732.81004953375
FBgn0034060,35642.96994699941,35641.16704589273,35643.15573751549
FBgn0015372,4119.852058261249,4121.671238371193,4146.823724625731
FBgn0039315,13542.22970569817,13543.57699441141,13602.34455183182
FBgn0034824,17020.36756811606,17022.32525769402,17004.67178146483
FBgn0261988,8398.428877142538,8399.98504419378,8413.766428557248
FBgn0052086,13495.41907214022,13496.78465976881,13541.9630051424
FBgn0029642,4022.188001621857,4024.236754695847,4097.148689529407
FBgn0038148,2224.154993406285,2225.762658392133,2308.475510956866
FBgn0263027,8864.392753068509,8866.365456915657,8909.543310566727
FBgn0035331,9216.579623790623,9218.1576306336,9256.603799985383
FBgn0051635,38385.16546386558,38387.16532865557,38414.48937886336
FBgn0261004,24816.42050616857,24817.98019606012,24826.0120267552
FBgn0051108,17039.40964894582,17039.78366656662,17085.8277802437
FBgn0261647,12979.52471979567,12979.38625549764,13019.32732291651
FBgn0029686,29066.76136399617,29068.68808309992,29047.76645538436
FBgn0041092,18855.40845780066,18855.81309613587,18896.1816964165
FBgn0035150,21219.61389329601,21220.99060695707,21244.43532721411
FBgn0020414,9740.630700750711,9741.642247618174,9783.415796986465
FBgn0033177,16950.79247831369,16952.37770595921,16999.64817130804
FBgn0036705,3095.704556786988,3095.513688394205,3149.469575759496
FBgn0005683,8317.061930419908,8318.554260464263,8378.513923729317
FBgn0001229,4290.102502350582,4290.35823782071,4316.607104460132
FBgn0040398,5440.04800132614,5441.869945130431,5500.509820581767
FBgn0050280,6823.882055696798,6823.58876201618,6895.316021149825
FBgn0030877,11679.63227633154,11680.87555423631,11708.82116289904
FBgn0030170,26098.75434388562,26098.65887113294,26087.95480802072
FBgn0085214,3304.354542748222,3306.418004193507,3377.170814380886
FBgn0262517,38302.29197038888,38300.06414213088,38285.74192870614
FBgn0035770,17027.40517072164,17029.03300182818,17053.30641771122
FBgn0035625,14915.38582458241,14917.39836556117,14959.36561705569
FBgn0034622,20101.25368673206,20101.74903964388,20134.10687491726
FBgn0034390,5262.189737301823,5261.57773208587,5266.857161193256
FBgn0032730,17867.10788674901,17868.71330942312,17896.1116089631
FBgn0033160,12157.95440410555,12144.72946674172,12150.46355136721
FBgn0037626,9600.26926129909,9601.570441626258,9661.976560162477
FBgn0008636,5917.23387651059,5918.213463621158,5920.954073869559
FBgn0038432,6530.955039650837,6530.077737948133,6572.539797792278
FBgn0033122,7238.866841778062,7240.726785219196,7251.646961987069
FBgn0053542,10377.27100432864,10379.0646206332,10425.46295714772
FBgn0038140,10876.21659925727,10876.51389778148,10904.52929510194
FBgn0053654,4342.587706310849,4343.841839137872,4427.573511320355
FBgn0038303,23942.3380052777,23941.42405252102,23946.55074489701
FBgn0035545,3066.972004303444,3064.663810538881,3097.168264978242
FBgn0032878,12500.00419374113,12501.96356517389,12553.99177365602
FBgn0033140,2636.207041977716,2638.221404352822,2677.70393729722
FBgn0036481,9749.48140614292,9749.461951532066,9764.639587434707
FBgn0035484,11525.07389705196,11524.57561133276,11513.87549707891
FBgn0052185,3121.373708534517,3119.625205470505,3166.236815343854
FBgn0030574,6453.040429821275,6454.959696027034,6503.410499527678
